OD	Valine	Isoleucine	Leucine	Ethanol	Alanine	Acetate	Glutamate	Succinate	Glutamine	Methionine	Aspartate	Lysine	Proline	Glycine	Tyrosine	Phenylalanine	Histidine	Gluconate	Malate	Fumarate	Uracil	Thymidine	Glucose	Inosine	Formate	Ribose	PEP	Uridine	UDP_GlcNAc	UDP_sugar	1_methylnicotinamide	NAD	NADP	Nicotinamide
1,04	0,013960895	0,010877783	0,02692386	0,00164203	0,018739009	0,006516249	0,063394777	0,003788446	0,003325406	0,001578437	0,001776527	0,00967137	0,001667147	0,012506273	0,004548944	0,0125668	0,001409734	0,003682487	0,002221577	0,001896692	0,000686837	0,000195201	0,000135735	0,001092578	0,000114029	7,57284E-05	5,51287E-05	0,003071409	0,000676733	0,001071805	0,000163683	0,000226611	0,000120527	4,44821E-05
1,04	0,014908474	0,011278196	0,027611883	0,001365322	0,018700298	0,006256228	0,061324043	0,004293948	0,004401319	0,001599212	0,001957978	0,009548104	0,001687328	0,011652832	0,004395604	0,012013236	0,001283468	0,00573272	0,002372108	0,001323077	0,000598449	0,000233904	9,0309E-05	0,001086631	5,94061E-05	0,000135962	7,29557E-05	0,003403448	0,000576982	0,00123865	0,000120556	0,00016032	9,52276E-05	2,48E-05
5	0,01626248	0,011862386	0,029200069	0,000815183	0,022332003	0,007829911	0,071628125	0,002168366	0,00308958	0,001608087	0,002310829	0,010146161	0,001759366	0,014820361	0,00495504	0,012460743	0,001417977	0,001778932	0,001509588	0,000715339	0,000388702	0,000254638	0,000101891	0,000582264	6,76634E-05	0	0,000127656	0,001570503	0,000787168	0,000456008	0,000117342	0,000133124	7,6691E-05	6,09553E-06
5	0,017211682	0,012309695	0,030057381	0,000678577	0,02330614	0,007529644	0,073158475	0,001730876	0,003226548	0,001609248	0,002497646	0,010334797	0,001895116	0,015600329	0,005113596	0,012399028	0,001379881	0,001556082	0,001128255	0,00067171	0,000471701	0,000297824	0,000133397	0,000526413	6,90809E-05	0	0,000186279	0,001433349	0,000865578	0,00040762	0,000108916	0,000135177	9,48116E-05	7,43181E-06
8,7	0,017639639	0,015282398	0,035630887	0,000619794	0,025108839	0,004306788	0,052680296	0,001219954	0,002193887	0,001885298	0,003962077	0,014204281	0,002410928	0,021797035	0,006389085	0,014061261	0,001863761	0,001046539	0,000659175	0,000500355	0,000498978	0,000362932	0,000183178	0,000162796	0,000101591	0	8,94696E-05	0,000664062	0,000693313	0,000193398	0,000195637	8,73006E-05	0,000149623	3,14259E-05
8,7	0,016590865	0,013600082	0,034050023	0,000915598	0,02341927	0,003556524	0,043828941	0,002034988	0,002769645	0,001842494	0,00344953	0,017401125	0,001950676	0,026329689	0,00696754	0,015038547	0,002536291	0,001643137	0,000696657	0,000329558	0,000664546	0,000426058	0,000216209	0,000218027	0,00042241	8,11103E-06	0,000153564	0,00069442	0,000825304	0,000259716	0,00017675	0,000236039	0,000130825	9,72067E-05
5,38	0,013993178	0,012787365	0,03153198	0,000837327	0,020490532	0,0045473	0,058990844	0,004163905	0,002694394	0,001796431	0,002962791	0,013373571	0,002096357	0,020314795	0,006098557	0,014378832	0,00219473	0,00118501	0,000884234	0,000691851	0,000524963	0,000311316	0,000161237	0,000225355	0,000204293	0	0,000107579	0,000613533	0,001543404	0,000257157	0,000241851	0,000215494	0,000131578	7,57805E-05
5,38	0,016358489	0,013875595	0,033941728	0,000594726	0,023431481	0,005137643	0,060330981	0,002395584	0,002341597	0,001790103	0,003460301	0,013531151	0,002401845	0,020523359	0,006143244	0,013807601	0,001699026	0,0010282	0,000617986	0,000668332	0,00047744	0,000314503	0,000148339	0,000158514	0,000115788	0	4,04108E-05	0,000697152	0,00110327	0,000152925	0,000143184	0,000111414	0,000165094	3,96757E-05
9,31	0,016668713	0,015847919	0,037189702	0,000687621	0,024681286	0,006487814	0,032425897	0,000838988	0,002505315	0,002058569	0,003000848	0,015621163	0,002207113	0,020586446	0,006893052	0,0153753	0,002102433	0,001014634	0,000884861	0,000279363	0,000462202	0,000157889	8,16872E-05	0,000129289	0,000100928	6,2308E-06	6,5325E-05	0,000389568	0,000756592	0,000141445	0,000171054	8,63845E-05	0,00016322	3,82809E-05
9,31	0,014207825	0,014621721	0,034647034	0,001279062	0,022809295	0,007768705	0,029540657	0,002115983	0,00245463	0,002002658	0,002522791	0,015989901	0,002012353	0,019859967	0,006972161	0,015963983	0,002246788	0,001170475	0,001101922	0,000237549	0,000574988	0,000100789	0,000104126	0,000147399	0,000134527	5,47985E-06	8,99208E-05	0,000245024	0,000873457	0,000165412	0,000176425	0,000133469	0,00016949	6,02E-05
