OD	Glutamate	Gluconate	Methanol	Ethanol	Formate	2_oxoglutarate	Ethanolamine	Lactate	Aspartate	Cytosine	Uracile	Acetate	Hypoxanthine	Xanthine	Thymine	Alanine	Unkown_1	Unkown_2	Unkown_4	Unkown_5
TAC125_28/01_0C_70h_2	195578,7785	151609,2979	116,6640563	31,46997031	211,327444	375,0512353	0	224,4755872	79,33294518	0	0	151,6211704	0	0	76,73739233	59,94360837	0	0	365,0674728	0
TAC125_28/01_0C_71h	212136,456	164129,8717	118,7561326	55,53665879	215,5396778	376,023422	0	226,8999782	68,77256089	0	0	157,4612218	0	0	77,09551501	76,09056735	0	0	425,6207517	0
TAC125_18/02_0C_141h_2	8694,912861	998,4530078	301,4054026	97,68890894	773,7724372	1297,234853	519,9737436	0	63,86376755	0	0	175,5732599	0	0	282,1158213	0	199,5051102	107,1248473	1897,508083	296,6428711
TAC125_18/02_0C_142h	8170,886713	744,531752	239,4358724	93,50983837	706,4253485	1188,321602	447,0207475	0	37,50173851	0	0	140,8220186	0	0	273,2141449	0	196,5684848	88,49081184	1865,368579	247,8891658
TAC125_28/01_0C_179h	0	0	615,3792705	59,20140226	1443,594963	1213,549116	1127,661632	0	0	191,5238599	108,7124247	105,7636397	52,41443808	79,72455504	235,96764	0	236,0610151	92,46360908	2102,972362	213,0602128
TAC125_28/01_0C_179h_2	0	0	581,7155969	63,73422112	1313,311801	1132,594887	1055,767844	0	0	182,7545087	87,16166826	94,85027147	49,78895098	70,50057325	215,9803627	0	222,3846188	81,98362897	1936,492669	177,2348518
TAC125_18/02_0C_190h	0	0	403,557023	1968,576798	764,98321	0	723,484891	0	0	221,4592348	325,9115541	107,4661116	185,5483117	261,3909801	279,5155503	0	214,6650306	113,0042602	1680,662875	294,1795299
TAC125_18/02_0C_190h_2	0	0	402,6312475	1412,801906	788,5378255	0	704,390962	0	0	193,6362711	340,3342064	105,692061	181,9723489	244,1817935	279,8964436	0	207,5503462	111,5763833	1634,322279	289,4336848
TAC125_18/02_0C_240h	0	0	424,2340404	113,3679704	734,9656258	0	208,0468217	0	0	237,5849894	357,7585302	98,50435567	174,4296634	164,0275563	176,8247979	0	202,6868557	124,8346167	1561,912158	319,9198639
TAC125_18/02_0C_239h_2	0	0	370,3506931	131,4116304	696,5207106	0	172,3441973	0	0	227,5623529	356,2797448	80,88759873	174,7473072	182,4581654	155,1908389	0	193,8699481	101,3424395	1602,082073	256,7319488
