OD	Glutamate	Gluconate	Methanol	Ethanol	Formate	2_oxoglutarate	Ethanolamine	Acetate	Aspartate	Malate	Fumarate	Cytosine	Uracile	Hypoxanthine	Xanthine	Thymine	Unkown_1	Unkown_2	Unkown_3	Unkown_4
TAC125_22/07_15C_6.5h_2	248108,2826	193537,1751	162,5771571	730,8288015	202,8307677	1739,430489	121,321025	286,6542187	387,2717975	455,2243651	59,9656722	0	0	17,44857497	0	146,4705628	96,17861262	136,9954921	160,2208303	1203,40722
TAC125_22/07_15C_6.0h	195271,4499	152041,4147	104,0278144	274,3669114	152,5571568	1372,581672	63,19267246	169,5425049	300,4161589	309,9129306	54,79422357	0	0	41,03516871	0	88,1019337	59,4684996	100,5447587	101,0075271	1034,79803
TAC125_15/12_15C_14h	132567,4763	68988,58331	95,95650256	92,26453726	348,9190988	340,486217	69,1038339	207,5842533	167,762264	86,03811027	15,42595704	0	0	29,47072474	0	79,06590504	115,4198154	34,06992624	104,4668086	1049,853747
TAC125_15/12_15C_14h_2	126745,1135	66280,1738	91,6211504	102,238003	361,9161463	354,0412036	77,28369726	224,5295418	164,1821267	93,92981548	25,04810107	0	0	20,51748865	0	74,85222902	97,52923665	44,18672138	88,44289145	974,1205452
TAC125_15/12_15C_20h	1262,00376	276,2065974	204,1917928	72,61368132	1274,646975	2002,258667	285,1306633	102,4828453	27,05341171	182,6297275	23,74459381	79,73941677	0	22,01113695	0	186,8275765	186,2028917	53,76721159	202,5337734	1684,648559
TAC125_15/12_15C_20h_2	1154,106644	297,2644015	214,1430508	62,06560857	1401,118237	2111,381375	298,8612343	94,42436131	21,88423611	195,0157872	21,36594506	89,90598432	0	26,46931097	0	193,8015001	161,9317537	63,53785201	196,8433928	1729,940807
TAC125_22/07_15C_25h	4981,430467	1264,129542	781,3706574	216,7010974	1274,849971	19378,35666	424,7436214	224,2298665	81,8475972	3129,311066	46,89118993	94,22012342	0	37,4278102	96,22543404	358,3872751	311,3130601	263,4707927	633,1514507	5243,080579
TAC125_22/07_15C_25h_2	6205,309369	1669,264587	1063,556422	259,8164689	1599,491606	24460,39051	613,6362045	393,5844163	105,6385727	3979,474492	76,3874934	102,6495378	0	45,95014141	99,89518235	453,5535078	354,4184786	332,9871918	784,9183072	5953,699193
TAC125_15/12_15C_39h	0	0	395,0059022	84,68846934	1419,47056	1766,69819	944,6928234	91,72491771	21,1470734	63,01214936	14,48158476	224,7507447	222,8824211	134,8653051	243,1938179	229,0289406	152,3079007	54,73714364	180,2536866	1537,441772
TAC125_15/12_15C_39h_2	0	0	472,695008	53,28773735	1761,404603	2069,579344	1144,419433	111,7806687	29,03410801	52,05293374	14,67101882	293,0299507	286,4169665	156,0891902	300,7810204	269,8078699	181,3003059	80,0471262	207,9802552	1808,0088
